movie_title,rating
 Jai Bhim,8.019277007633757
 Rebecca,8.01832022297286
 Ah-ga-ssi,8.017972601691493
 Cool Hand Luke,8.017416275422173
 The Sound of Music,8.013371653891507
 It Happened One Night,8.012582501932034
 Les quatre cents coups,8.012215275821324
 Persona,8.009931008874053
 Life of Brian,8.008134733343558
 The Iron Giant,8.006630941129067
 The Help,8.005876495254114
 Aladdin,8.00355305322304
 Dances with Wolves,8.001940395063237
